22/3/5,0:5:13,0.00,609270.83,191.40,300.00,0.26,0.09
22/3/5,0:5:26,0.00,608004.16,5.95,623.00,0.27,2.96
22/3/5,0:5:39,0.00,607476.64,194.93,300.00,0.27,0.09
22/3/5,0:5:52,0.00,607684.32,6.00,623.00,0.27,2.96
22/3/5,0:6:5,0.00,606860.71,199.62,300.00,0.27,0.09
22/3/5,0:6:18,0.00,609469.30,6.20,623.00,0.28,2.96
22/3/5,0:6:32,0.00,608844.95,193.16,300.00,0.27,0.09
22/3/5,0:6:45,0.00,610971.79,6.21,623.00,0.28,2.96
22/3/5,0:6:58,0.00,610438.41,6.39,623.00,0.29,2.96
22/3/5,0:7:11,0.00,655816.55,146.49,300.00,0.20,0.09
22/3/5,0:7:25,0.00,889487.52,4.65,623.00,0.21,2.96
22/3/5,0:7:39,0.00,702085.51,155.00,300.00,0.21,0.09
22/3/5,0:7:53,0.00,702189.78,4.76,623.00,0.21,2.96
22/3/5,0:8:7,0.00,701668.40,160.58,300.00,0.22,0.09
22/3/5,0:8:21,0.00,701875.00,5.00,623.00,0.22,2.96
22/3/5,0:8:35,0.00,700833.33,161.46,300.00,0.22,0.09
22/3/5,0:8:49,0.00,703131.52,5.12,623.00,0.23,2.96
22/3/5,0:9:3,0.00,702187.50,172.03,300.00,0.24,0.09
22/3/5,0:9:17,0.00,702291.67,5.34,623.00,0.24,2.96
22/3/5,0:9:30,0.00,576850.89,166.74,300.00,0.23,0.09
22/3/5,0:9:43,0.00,575754.42,171.15,300.00,0.23,0.09
22/3/5,0:10:14,0.00,2483211.68,7.18,623.00,0.32,2.96
22/3/5,0:11:3,0.00,4349270.83,235.44,300.00,0.32,0.09
22/3/5,0:11:54,0.00,4603121.75,7.39,623.00,0.33,2.96
22/3/5,0:12:54,0.00,4885862.79,4.26,623.00,0.19,2.96
22/3/5,0:13:49,0.00,4981165.45,4.55,623.00,0.20,2.96
22/3/5,0:14:45,0.00,5048125.00,4.87,623.00,0.22,2.96
22/3/5,0:15:41,0.00,5081751.82,145.31,300.00,0.20,0.09
22/3/5,0:16:37,0.00,5075987.53,179.95,300.00,0.25,0.09
22/3/5,0:17:33,0.00,5076299.38,184.65,300.00,0.25,0.09
22/3/5,0:18:29,0.00,5090625.00,192.28,300.00,0.26,0.09
22/3/5,0:19:25,0.01,5065280.67,6.11,623.00,0.27,2.96
22/3/5,0:20:21,0.01,5060874.09,6.43,623.00,0.29,2.96
22/3/5,0:21:17,0.01,5026923.08,6.11,623.00,0.27,2.96
22/3/5,0:22:12,0.01,5042961.42,222.81,300.00,0.31,0.09
22/3/5,0:23:8,0.01,5006041.67,226.04,300.00,0.31,0.09
22/3/5,0:24:3,0.01,5013007.28,231.62,300.00,0.32,0.09
22/3/5,0:24:58,0.01,4994583.33,7.32,623.00,0.33,2.96
22/3/5,0:25:53,0.01,4960561.91,7.35,623.00,0.33,2.96
22/3/5,0:26:48,0.01,4910729.17,7.65,623.00,0.34,2.96
22/3/5,0:27:42,0.01,4886875.00,249.53,300.00,0.34,0.09
22/3/5,0:28:35,0.01,4840937.50,253.93,300.00,0.35,0.09
22/3/5,0:29:29,0.01,4811018.71,253.35,300.00,0.35,0.09
22/3/5,0:30:22,0.01,4781789.80,7.81,623.00,0.35,2.96
22/3/5,0:31:15,0.01,4745889.70,7.85,623.00,0.35,2.96
22/3/5,0:32:7,0.01,4818220.79,177.02,300.00,0.24,0.09
22/3/5,0:32:59,0.01,4652653.49,249.82,300.00,0.34,0.09
22/3/5,0:33:51,0.02,4643854.17,7.91,623.00,0.35,2.96
22/3/5,0:34:43,0.02,4603222.45,242.78,300.00,0.33,0.09
22/3/5,0:35:34,0.02,4583975.03,252.17,300.00,0.35,0.09
22/3/5,0:36:25,0.02,4543958.33,7.95,623.00,0.36,2.96
22/3/5,0:37:15,0.02,4508446.30,7.61,623.00,0.34,2.96
22/3/5,0:38:5,0.02,4463503.65,251.88,300.00,0.35,0.09
22/3/5,0:38:55,0.02,4415520.83,7.88,623.00,0.35,2.96
22/3/5,0:39:45,0.02,4392604.17,7.81,623.00,0.35,2.96
22/3/5,0:40:34,0.02,4349323.62,251.88,300.00,0.35,0.09
22/3/5,0:41:22,0.02,4287604.17,5.83,623.00,0.26,2.96
22/3/5,0:42:10,0.02,4240625.00,252.46,300.00,0.35,0.09
